"its","jego"
"It is recommended to place a certain number of [C:6:0:0]Cages[C:7:0:0] and [C:6:0:0]Chains[C:7:0:0] and assign them to a [C:3:0:0]Dungeon[C:7:0:0] zone. ","Zaleca si© umieòciÜ jak•ò liczb© [C:6:0:0]Klatek[C:7:0:0] i [C:6:0:0]ùa‰cuch¢w[C:7:0:0] i przypisaÜ je do strefy [C:3:0:0]Lochu[C:7:0:0]. "
"Officers may opt for physical punishment if they cannot carry out custodial sentences.","Funkcjonariusze mog• zdecydowaÜ si© na kar© fizyczn•, jeòli nie mog• wykonaÜ kary pozbawienia wolnoòci."
"Squads","Oddziaày"
"This is the squad menu. ","To jest menu oddziaàu. "
"Here you can create squads, fill their positions, assign equipment and schedules, and give specific orders.","Tutaj moæna tworzyÜ oddziaày, obsadzaÜ ich stanowiska, przydzielaÜ wyposaæenie i harmonogramy oraz wydawaÜ konkretne rozkazy."
"Although this location is relatively safe, it is recommended that you prepare a squad and get them training at some point. ","Chociaæ lokalizacja ta jest wzgl©dnie bezpieczna, zaleca si© przygotowanie oddziaàu i przeprowadzenie w pewnym momencie szkolenia. "
"Wildlife and even your own citizens can still be dangerous at times.","Dzika przyroda, a nawet twoi obywatele mog• byÜ czasem niebezpieczni."
"It is recommended that you prepare a squad and get them training as soon as you can. ","Zaleca si© przygotowanie oddziaàu i wytrenowanie go tak szybko jak to moæliwe. "
"You have no idea what's lurking out there.","Nie masz poj©cia co kr•æy w pobliæu."
"The World","ówiat"
"The world created at the beginning of the game is active, and others may take an interest in your outpost as it grows. ","ówiat stworzony na pocz•tku gry jest aktywny, i razem ze wzrostem twojej plac¢wki inni mog• si© ni• zainteresowaÜ. "
"Stolen [C:6:0:1]Artifacts[C:7:0:0] and kidnapped citizens can be recovered by preparing missions from this screen. ","Ukradzione [C:6:0:1]Artefakty[C:7:0:0] i uprowadzeni obywatele mog• byÜ odzyskani za pomoc• misji przygotowywanych z tego ekranu. "
"You can also cause trouble if you'd like to raid your neighbors. ","Moæesz takæe sprawiaÜ kàopoty, jeòli chcesz najechaÜ swoich s•siad¢w. "
"Raids are created by clicking on any site not belonging to your civilization.","Najazdy tworzysz klikaj•c na jakiekolwiek miejsce nie naleæ•ce do twojej cywilizacji."
"Work orders are used to automate [C:3:0:1]Tasks[C:7:0:0] in [C:6:0:0]Workshops[C:7:0:0]. ","Zlecenia pracy s• uæywane do automatyzowania [C:3:0:1]Zada‰[C:7:0:0] w [C:6:0:0]Warsztatach[C:7:0:0]. "
"These work orders are set to complete a certain number of [C:3:0:1]Tasks[C:7:0:0] and can be given start conditions.","Te zlecenia pracy maj• na celu wykonanie okreòlonej liczby [C:3:0:1]Zada‰[C:7:0:0] i mog• mieÜ okreòlone warunki rozpocz©cia."
"For instance, you can create an order to [C:3:0:1]Make Wooden Bins[C:7:0:0] if you are out of empty ones, to [C:3:0:1]Brew Drinks[C:7:0:0] if you are running low, or to [C:3:0:1]Make Five Statues[C:7:0:0] every month.","Przykàadowo, moæesz stworzyÜ zlecenie na [C:3:0:1]Robienie Drewnianych Koszy[C:7:0:0] jeòli sko‰cz• ci si© puste, na [C:3:0:1]Warzenie napoj¢w[C:7:0:0] gdy zacznie ich brakowaÜ, czy na [C:3:0:1]Robienie pi©ciu Figur[C:7:0:0] kaædego miesi•ca."
"You can limit work orders to a number of [C:6:0:0]Workshops[C:7:0:0]. ","Moæesz ograniczyÜ zlecenia pracy do kilku [C:6:0:0]Warsztat¢w[C:7:0:0]. "
"You can also create work orders at specific [C:6:0:0]Workshops[C:7:0:0] from their building sheet. ","Moæesz takæe stworzyÜ zlecenie pracy dla konkretnego [C:6:0:0]Warsztatu[C:7:0:0] z poziomu jego panelu budynku. "
"The system is reasonably powerful and you can eventually automate almost all of your production if you wish.","System jest doòÜ pot©æny i jeòli chcesz, moæesz zautomatyzowaÜ praktycznie caà• swoj• produkcj©."
"If you find that your stockpiles are filling up too fast, you can create room by building [C:6:0:1]Bins[C:7:0:0], ","Jeòli okaæe si©, æe twoje magazyny napeàniaj• si© zbyt szybko, moæesz stworzyÜ miejsce tworz•c [C:6:0:1]Kosze[C:7:0:0], "
"[C:6:0:1]Barrels[C:7:0:0], and [C:6:0:1]Bags[C:7:0:0].  [C:6:0:1]Barrels[C:7:0:0] are used to store [C:6:0:1]Food[C:7:0:0].  [C:6:0:1]Bags[C:7:0:0] are used to store [C:6:0:1]Seeds[C:7:0:0] ","[C:6:0:1]Beczki[C:7:0:0], i [C:6:0:1]Worki[C:7:0:0].  [C:6:0:1]Beczki[C:7:0:0] s• uæywane do przechowywania [C:6:0:1]Jedzenia[C:7:0:0].  [C:6:0:1]Worki[C:7:0:0] s• uæywane do [C:6:0:1]Nasion[C:7:0:0] "
"(and some other things like [C:6:0:1]Sand[C:7:0:0]).  [C:6:0:1]Bins[C:7:0:0] hold just about everything else except [C:6:0:1]Furniture[C:7:0:0], [C:6:0:1]Wood[C:7:0:0] and [C:6:0:1]Boulders[C:7:0:0]. ","(i paru innych rzeczy, jak np. [C:6:0:1]Piasek[C:7:0:0]).  [C:6:0:1]Kosze[C:7:0:0] przechowuj• prawie wszystko, z wyj•tkiem [C:6:0:1]Mebli[C:7:0:0], [C:6:0:1]Drewna[C:7:0:0] i [C:6:0:1]Gàaz¢w[C:7:0:0]. "
"The [C:6:0:0]Carpenter's Workshop[C:7:0:0] is the best place to make lightweight [C:6:0:1]Bins[C:7:0:0] and [C:6:0:1]Barrels[C:7:0:0], but they can also be made at ","[C:6:0:0]Warsztat stolarski[C:7:0:0] jest najlepszym miejscem do tworzenia lekkich [C:6:0:1]Koszy[C:7:0:0] i [C:6:0:1]Beczek[C:7:0:0], ale mog• byÜ one robione takæe w  "
"the [C:6:0:0]Stoneworker's Shop[C:7:0:0] and the [C:6:0:0]Metalsmith's Forge[C:7:0:0].  [C:6:0:1]Bags[C:7:0:0] are created at the [C:6:0:0]Clothier's Shop[C:7:0:0] or the [C:6:0:0]Leatherworks[C:7:0:0].","[C:6:0:0]Pracowni kamieniarza[C:7:0:0] i [C:6:0:0]Ku´ni kowala[C:7:0:0].  [C:6:0:1]Kosze[C:7:0:0] s• tworzone w [C:6:0:0]Warsztacie tkackim[C:7:0:0] albo [C:6:0:0]Zakàadzie kaletniczym[C:7:0:0]."
"When the caravan arrives at the [C:6:0:0]Trade Depot[C:7:0:0], you must click on the depot and select [C:5:0:1]""Bring Goods to Depot""[C:7:0:0]. ","Kiedy karawana przybywa do [C:6:0:0]Skàadu Handlowego[C:7:0:0], musisz klikn•Ü na skàad i wybraÜ [C:5:0:1]""PrzynieòÜ towary do skàadu""[C:7:0:0]. "
"Here you can select which goods you wish to trade.  After everyone has brought their goods you can ","Tutaj moæesz wybraÜ, kt¢re dobra zamierzasz wymieniÜ. Kiedy wszyscy przynios• swoje towary moæesz "
"select [C:5:0:1]""Trade""[C:7:0:0].  Don't worry if you have no [C:5:0:0]Broker[C:7:0:0], just select [C:5:0:1]""Anyone can Trade""[C:7:0:0].  You cannot trade ","wybraÜ [C:5:0:1]""Handluj""[C:7:0:0].  Nie martw si©, jeòli nie masz [C:5:0:0]Brokera[C:7:0:0], po prostu wybierz [C:5:0:1]""Kaædy moæe handlowaÜ""[C:7:0:0].  Nie moæesz handlowaÜ "
"until your [C:5:0:0]Broker[C:7:0:0] or another resident arrives at the depot.","aæ tw¢j [C:5:0:0]Broker[C:7:0:0] lub inny mieszkaniec przyjdzie do skàadu."
"When trading you select which goods you want from the list on the left, and which goods of yours to ","Podczas handlu, towary kt¢re chcesz kupiÜ wybierz z listy po lewej stronie, a twoje towary, kt¢re chcesz "
"trade from the list on the right.  Then hit [C:5:0:1]""Trade""[C:7:0:0].  The trader will accept if the deal is fair and ","sprzedaÜ z listy po prawej. Naciònij potem [C:5:0:1]""Handluj""[C:7:0:0].  Handlarz zaakceptuje propozycj©, jeòli jest uczciwa, "
"they can carry away the weight of the things you are selling.","a nast©pnie ugnie si© pod ci©æarem twoich sprzedanych rzeczy."
"Note that if you have a [C:5:0:0]Broker[C:7:0:0] the value of each good with be shown if their skill is high enough.","Zauwaæ, æe jeòli masz [C:5:0:0]Brokera[C:7:0:0] wartoòÜ kaædego towaru b©dzie pokazana, pod warunkiem æe ma on wystarczaj•ce umiej©tnoòci."
"In order for some functions to be used, like work orders or bookkeeping, [C:5:0:0]Administrators[C:7:0:0] must be assigned. ","Aby moæna byào korzystaÜ z niekt¢rych funkcji, takich jak zlecenia pracy czy ksi©gowoòÜ, musz• byÜ przypisani [C:5:0:0]Administratorzy[C:7:0:0]. "
"To do this select the [C:5:0:1]Nobles and administrators[C:7:0:0] menu and click the add button to assign somebody. ","Aby to zrobiÜ, wybierz menu [C:5:0:1]Szlachta i Administratorzy[C:7:0:0] i kliknij przycisk dodawania by kogoò przypisaÜ. "
"Some [C:5:0:0]Administrators[C:7:0:0] will require [C:3:0:0]Offices[C:7:0:0] to perform their work. ","Niekt¢rzy [C:5:0:0]Administratorzy[C:7:0:0] b©d• wymagaÜ [C:3:0:0]Biur[C:7:0:0] aby wykonywaÜ swoj• prac©. "
"You can create these with [C:5:0:1]Zones[C:7:0:0] -> [C:5:0:1]Office[C:7:0:0]. ","Moæesz je stworzyÜ za pomoc• [C:5:0:1]Strefy[C:7:0:0] -> [C:5:0:1]Biura[C:7:0:0]. "
"The [C:3:0:0]Zone[C:7:0:0] you select must contain a [C:6:0:0]Chair[C:7:0:0], or you can paint a [C:3:0:0]Zone[C:7:0:0] and place a [C:6:0:0]Chair[C:7:0:0] later. ","[C:3:0:0]Strefa[C:7:0:0] kt¢r• zaznaczasz musi zawieraÜ [C:6:0:0]Krzesào[C:7:0:0], albo moæesz wyznaczyÜ [C:3:0:0]Stref©[C:7:0:0] i umieòciÜ [C:6:0:0]Krzesào[C:7:0:0] p¢´niej. "
"Remember to assign the [C:5:0:0]Administrator[C:7:0:0] to the [C:3:0:0]Office[C:7:0:0].","Pami©taj aby przypisaÜ [C:5:0:0]Administratora[C:7:0:0] do [C:3:0:0]Biura[C:7:0:0]."
"Other nobles may appear or be assigned as ","Inni szlachcice mog• si© pojawiÜ lub zostaÜ przypisani "
"the game progresses.  Use the [C:5:0:1]Nobles and administrators[C:7:0:0] menu to check their wants and needs.","razem z post©pem gry. Uæyj menu [C:5:0:1]Szlachta i Administratorzy[C:7:0:0] by sprawdziÜ ich æ•dania i potrzeby."
"In order to make [C:6:0:1]Metal Bars[C:7:0:0] for the [C:2:0:0]Metalsmith[C:7:0:0], you must smelt [C:6:0:1]Ore[C:7:0:0]. ","Aby zrobiÜ [C:6:0:1]Sztaby metalu[C:7:0:0] dla [C:2:0:0]Kowala[C:7:0:0], musisz wytapiaÜ [C:6:0:1]Rud©[C:7:0:0]. "
"This can done at the [C:6:0:0]Smelter[C:7:0:0] which can be found under [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Furnaces[C:7:0:0] -> [C:5:0:1]Smelter[C:7:0:0]. ","Moæesz to zrobiÜ w [C:6:0:0]Hucie[C:7:0:0] kt¢ra moæe byÜ znaleziona pod [C:5:0:1]Warsztaty[C:7:0:0] -> [C:5:0:1]Piece[C:7:0:0] -> [C:5:0:1]Huta[C:7:0:0]. "
"[C:6:0:1]Ore[C:7:0:0] is mined underground, below the soil layers.","[C:6:0:1]Ruda[C:7:0:0] jest wykopywana pod ziemi•, pod warstw• ziemi."
"If you have found magma you can build a [C:6:0:0]Magma Smelter[C:7:0:0] directly over it, otherwise you need [C:6:0:1]Fuel[C:7:0:0]. ","Jeòli znalazàeò magm©, moæesz zbudowaÜ [C:6:0:0]Hut© magmow•[C:7:0:0] bezpoòrednio nad ni•, inaczej b©dziesz potrzebowaÜ [C:6:0:1]Paliwa[C:7:0:0]. "
"To get [C:6:0:1]Fuel[C:7:0:0] you need to make [C:6:0:1]Charcoal[C:7:0:0] with a [C:6:0:0]Wood Furnace[C:7:0:0], ","Aby otrzymaÜ [C:6:0:1]Paliwo[C:7:0:0] potrzebujesz zrobiÜ [C:6:0:1]W©giel drzewny[C:7:0:0] za pomoc• [C:6:0:0]Pieca na drewno[C:7:0:0], "
"found at [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Furnaces[C:7:0:0] -> [C:5:0:1]Wood Furnace[C:7:0:0]. ","znajduj•cego si© w [C:5:0:1]Warsztaty[C:7:0:0] -> [C:5:0:1]Piece[C:7:0:0] -> [C:5:0:1]Piec na drewno[C:7:0:0]. "
"You may switch to other forms of [C:6:0:1]Fuel[C:7:0:0] later, such as [C:6:0:1]Coal[C:7:0:0], but you will usually ","P¢´niej moæesz przestawiÜ si© na inne formy [C:6:0:1]Paliwa[C:7:0:0] p¢´niej, takie jak [C:6:0:1]W©giel[C:7:0:0], ale zazwyczaj b©dziesz  "
"need [C:6:0:1]Charcoal[C:7:0:0] from the [C:6:0:0]Wood Furnace[C:7:0:0] to start the process.","potrzebowaà [C:6:0:1]W©gla drzewnego[C:7:0:0] z [C:6:0:0]Pieca na drewno[C:7:0:0] aby rozpocz•Ü proces."
"It is a dangerous world, and if the entrances of your fortress are left open, ","To jest niebezpieczny òwiat, i jeòli wejòcia do twojej twierdzy pozostan• otwarte, "
"you can succumb to invasions. ","moæesz ulec inwazji. "
"The best way to avoid this fate is to build traps and ","Najlepszym sposobem na unikni©cie tego losu jest budowa puàapek i "
"lock the ways into your fortress.  The ways to build traps are as wild as your imagination. ","zablokowanie dr¢g do twojej twierdzy. Sposoby budowy puàapek s• r¢wnie dzikie jak twa wyobra´nia. "
"Most require [C:6:0:1]Mechanisms[C:7:0:0] made at the [C:6:0:0]Mechanic's Shop[C:7:0:0], using [C:5:0:1]Workshops[C:7:0:0] -> [C:5:0:1]Mechanic[C:7:0:0]. ","Wi©kszoòÜ wymaga [C:6:0:1]Mechanizm¢w[C:7:0:0] tworzonych w [C:6:0:0]Warsztacie mechanicznym[C:7:0:0], uæywaj•c [C:5:0:1]Warsztaty[C:7:0:0] -> [C:5:0:1]Mechanika[C:7:0:0]. "
"To stop some enemies from entering your fortress use [C:5:0:1]Build[C:7:0:0] -> [C:5:0:1]Machines/fluids[C:7:0:0] -> [C:5:0:1]Lever[C:7:0:0] to build a [C:6:0:0]Lever[C:7:0:0]. ","Aby powstrzymaÜ niekt¢rych wrog¢w przed wejòciem do twierdzy, uæyj [C:5:0:1]Buduj[C:7:0:0] -> [C:5:0:1]Maszyny/pàyny[C:7:0:0] -> [C:5:0:1]D´wignia[C:7:0:0] aby zbudowaÜ [C:6:0:0]D´wigni©[C:7:0:0]. "
"Then click on the [C:6:0:0]Lever[C:7:0:0] and choose to link it to a [C:6:0:0]Bridge[C:7:0:0] or [C:6:0:0]Door[C:7:0:0].  This will lock the [C:6:0:0]Door[C:7:0:0] ","Nast©pnie kliknij na [C:6:0:0]D´wigni©[C:7:0:0] i wybierz przypisanie do [C:6:0:0]Mostu[C:7:0:0] lub [C:6:0:0]Drzwi[C:7:0:0].  To zablokuje [C:6:0:0]Drzwi[C:7:0:0] "
"or raise the [C:6:0:0]Bridge[C:7:0:0], locking you inside. ","albo podniesie [C:6:0:0]Most[C:7:0:0], zamykaj•c ci© w òrodku. "
"There are also predesigned traps, such as [C:6:0:0]Weapon[C:7:0:0], [C:6:0:0]Cage[C:7:0:0], and [C:6:0:0]Stone-Fall Traps[C:7:0:0]. ","Istniej• r¢wnieæ wst©pnie zaprojektowane puàapki, takie jak [C:6:0:0]Puàapki z Broni•[C:7:0:0], [C:6:0:0]Klatkami[C:7:0:0], czy [C:6:0:0]Ze Spadaj•cymi Kamieniami[C:7:0:0]. "
"These require a [C:6:0:1]Weapon[C:7:0:0], [C:6:0:1]Cage[C:7:0:0], or [C:6:0:1]Boulder[C:7:0:0] to function. ","Wymagaj• one [C:6:0:1]Broni[C:7:0:0], [C:6:0:1]Klatek[C:7:0:0], lub [C:6:0:1]Gàaz¢w[C:7:0:0] aby dziaàaÜ. "
"Non-alcoholic water is essential to a functioning fortress.  The most favored place to ","Woda bez alkoholu jest podstawow• sprawa dla funkcjonowania twierdzy. Najbardziej preferowane miejsce "
"get it is from a [C:6:0:0]Well[C:7:0:0]. ","do jej uzyskiwania to [C:6:0:0]Studnia[C:7:0:0]. "
"[C:6:0:0]Wells[C:7:0:0] require a [C:6:0:1]Bucket[C:7:0:0], [C:6:0:1]Blocks[C:7:0:0], a [C:6:0:1]Rope[C:7:0:0] or [C:6:0:1]Chain[C:7:0:0], and [C:6:0:1]Mechanisms[C:7:0:0].  They can be built over ","[C:6:0:0]Studnie[C:7:0:0] wymagaj• [C:6:0:1]Wiadra[C:7:0:0], [C:6:0:1]Bloczk¢w[C:7:0:0], [C:6:0:1]Liny[C:7:0:0] lub [C:6:0:1]ùa‰cucha[C:7:0:0], i [C:6:0:1]Mechanizm¢w[C:7:0:0].  Mog• byÜ zbudowane nad "
"any body of water.  It is possible to find water underground, or divert it from the surface.","dowolnym blokiem wody. Moæliwe jest znalezienie wody pod ziemi• lub przekierowanie jej z powierzchni."
"Aquifers can block the downward progress of your fortress, but it is possible to bypass them. ","Warstwy wodonoòne s• w stanie zablokowaÜ post©p twojej twierdzy w gà•b, ale da si© je omin•Ü. "
"One way is to simply re-designate the damp stone for mining in order to build a 3x3 room around the stairs. ","Jednym ze sposob¢w jest zaznaczenie wilgotnego kamienia do wykopania w taki spos¢b, aby powstaào pomieszczenie 3x3 wok¢à schod¢w. "
"You can then build [C:6:0:0]Walls[C:7:0:0] around the stairs until the leaking water is blocked off. ","Potem moæesz budowaÜ [C:6:0:0]óciany[C:7:0:0] wok¢à schod¢w aæ ciekn•ca woda zostanie zablokowana. "
"Repeat this pattern until you get below the aquifer.","Powtarzaj ten wz¢r aæ dostaniesz si© pod warstw© wodonoòn•."
"Eventually the [C:6:0:1]Clothing[C:7:0:0] that your residents start with will rot away. ","Kiedyò w ko‰cu [C:6:0:1]Ubrania[C:7:0:0] z kt¢rymi twoi mieszka‰cy zaczynaj• zepsuj• si© doszcz©tnie. "
"While it is possible to trade for [C:6:0:1]Clothing[C:7:0:0], [C:6:0:1]Cloth[C:7:0:0], or [C:6:0:1]Leather[C:7:0:0], you can also farm [C:6:0:1]Pigtails[C:7:0:0], ","Podczas gdy moæliwy jest zakup [C:6:0:1]Ubra‰[C:7:0:0], [C:6:0:1]Materiaàu[C:7:0:0], lub [C:6:0:1]Sk¢ry[C:7:0:0], moæesz takæe uprawiaÜ [C:6:0:1]ówi‰skie ogony[C:7:0:0], "
"gather [C:6:0:1]Silk[C:7:0:0], or tan [C:6:0:1]Skins[C:7:0:0] for [C:6:0:1]Leather[C:7:0:0]. ","zbieraÜ [C:6:0:1]Jedwab[C:7:0:0], lub garbowaÜ [C:6:0:1]Surow• sk¢r©[C:7:0:0] aby uzyskaÜ[C:6:0:1]Sk¢r©[C:7:0:0]. "
"After harvesting plants like the [C:6:0:1]Pigtail[C:7:0:0], first process them at the [C:6:0:0]Farmer's Workshop[C:7:0:0], then ","Po zebraniu roòlin takich jak [C:6:0:1]ówi‰skie ogony[C:7:0:0], najpierw przetw¢rz je w [C:6:0:0]Warsztacie rolniczym[C:7:0:0], potem  "
"weave [C:6:0:1]Cloth[C:7:0:0] at the [C:6:0:0]Loom[C:7:0:0], then make [C:6:0:1]Clothing[C:7:0:0] at the [C:6:0:0]Clothier[C:7:0:0]. ","utkaj [C:6:0:1]Tkanin©[C:7:0:0] na [C:6:0:0]Kroònie[C:7:0:0], a nast©pnie stw¢rz [C:6:0:1]Ubrania[C:7:0:0] u [C:6:0:0]Sukiennika[C:7:0:0]. "
"Gathered [C:6:0:1]Silk[C:7:0:0] can go directly to the [C:6:0:0]Loom[C:7:0:0].","Zebrany [C:6:0:1]Jedwab[C:7:0:0] moæe trafiÜ bezpoòrednio na [C:6:0:0]Krosna[C:7:0:0]."
"[C:6:0:1]Skins[C:7:0:0] can be obtained by butchering [C:2:0:0]Livestock[C:7:0:0] at the [C:6:0:0]Butcher's Shop[C:7:0:0]. ","[C:6:0:1]Surowe sk¢ry[C:7:0:0] moæna uzyskaÜ z uboju [C:2:0:0]Trzody[C:7:0:0] w [C:6:0:0]Rze´ni[C:7:0:0]. "
"[C:6:0:1]Skins[C:7:0:0] are tanned at the [C:6:0:0]Tanner's Shop[C:7:0:0], and made into [C:6:0:1]Clothing[C:7:0:0] at the [C:6:0:0]Leather Works[C:7:0:0].","[C:6:0:1]Surowe sk¢ry[C:7:0:0] s• garbowane u [C:6:0:0]Garbarza[C:7:0:0], i przetwarzane [C:6:0:1]Materiaà[C:7:0:0] w [C:6:0:0]Zakàadzie kaletniczym[C:7:0:0]."
"[C:3:0:0]Meeting Areas[C:7:0:0] are [C:3:0:0]Zones[C:7:0:0] where your citizens gather when not working or taking care of their needs. ","[C:3:0:0]Obszary spotka‰[C:7:0:0] s• [C:3:0:0]Strefami[C:7:0:0] gdzie twoi obywatele zbieraj• si© gdy nie pracuj• ani nie zaspokajaj• swoich potrzeb. "
"[C:3:0:0]Zones[C:7:0:0] can be assigned to special [C:1:0:1]Locations[C:7:0:0]. Usually one [C:3:0:0]Meeting Area[C:7:0:0] is sufficient, but [C:1:0:1]Locations[C:7:0:0] can span several [C:3:0:0]Zones[C:7:0:0]. ","[C:3:0:0]Strefy[C:7:0:0] mog• byÜ przypisane do specjalnych [C:1:0:1]Lokacji[C:7:0:0]. Zazwyczaj jeden [C:3:0:0]Obszar spotka‰[C:7:0:0] wystarcza, ale [C:1:0:1]Lokalizacje[C:7:0:0] mog• obejmowaÜ kilka [C:3:0:0]Stref[C:7:0:0]. "
"There are five types of [C:1:0:1]Locations[C:7:0:0], which we'll go over in turn.","Jest pi©Ü rodzaj¢w [C:1:0:1]Lokacji[C:7:0:0], kt¢re om¢wimy po kolei."
"[C:7:0:1]Taverns[C:7:0:0]","[C:7:0:1]Karczmy[C:7:0:0]"
"[C:1:0:1]Taverns[C:7:0:0] are where your residents gather to drink, socialize, tell stories, and dance. ","[C:1:0:1]Karczmy[C:7:0:0] to miejsca, gdzie twoi mieszka‰cy zbieraj• si©, by piÜ, rozmawiaÜ, opowiadaÜ historie i ta‰czyÜ. "
"To have a fully functioning [C:1:0:1]Tavern[C:7:0:0] you must have a [C:6:0:0]Stockpile[C:7:0:0] with [C:6:0:1]Booze[C:7:0:0] in it, preferably close by. ","By mieÜ w peàni funkcjonuj•c• [C:1:0:1]Karczm©[C:7:0:0] musisz mieÜ [C:6:0:0]Magazyn[C:7:0:0] z [C:6:0:1]Gorzaàk•[C:7:0:0, najlepiej w pobliæu. "
"The inhabitants also like to drink from [C:6:0:1]Goblets[C:7:0:0], [C:6:0:1]Cups[C:7:0:0], or [C:6:0:1]Mugs[C:7:0:0].  These must be stored in [C:6:0:0]Chests[C:7:0:0] or ","Mieszka‰cy lubi• takæe piÜ z [C:6:0:1]Kielich¢w[C:7:0:0], [C:6:0:1]Kubk¢w[C:7:0:0], i [C:6:0:1]Kufli[C:7:0:0]. Te musz• byÜ przechowywane w [C:6:0:0]Skrzyniach[C:7:0:0] lub "
"[C:6:0:0]Coffers[C:7:0:0] inside the [C:1:0:1]Tavern[C:7:0:0].  Optionally you can place [C:6:0:0]Tables[C:7:0:0] and [C:6:0:0]Chairs[C:7:0:0] where your residents can eat. ","[C:6:0:0]Kufrach[C:7:0:0] w òrodku [C:1:0:1]Karczmy[C:7:0:0].  opcjonalnie moæesz umieòcic [C:6:0:0]Stoày[C:7:0:0] i [C:6:0:0]Krzesàa[C:7:0:0], przy kt¢rych twoi mieszka‰cy b©d• mogli zjeòÜ . "
"You may also leave a cleared space your tavern-goers will use as a dance floor.  If you have any [C:6:0:1]Musical ","Moæesz zostawiÜ takæe pust• przestrze‰, kt¢r• bywalcy karczmy wykorzystaj• jako parkiet taneczny. Jeòli masz jakieò [C:6:0:1]Instrumenty "
"Instruments[C:7:0:0] these can also be used by the [C:1:0:1]Tavern[C:7:0:0]. ","Muzyczne[C:7:0:0], te r¢wnieæ mog• zostaÜ wykorzystane w [C:1:0:1]Karczmie[C:7:0:0]. "
"From the [C:5:0:1]Tavern Info Menu[C:7:0:0] you can choose to assign [C:5:0:0]Performers[C:7:0:0] or a [C:5:0:0]Tavern Keeper[C:7:0:0] who will serve the ","Z [C:5:0:1]Menu Informacji Karczmy[C:7:0:0] moæesz przypisaÜ[C:5:0:0]Wykonawc¢w[C:7:0:0] lub [C:5:0:0]Karczmarza[C:7:0:0], kt¢ry b©dzie serwowaà "
